Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pdret_tmv,Pdret_mc
0,A,2,4,2015-01-19,104,-0.0372,-0.0327
0,A,3,4,2015-01-19,100,-0.0413,-0.0414
0,A,4,4,2015-01-19,92,-0.0558,-0.0500
0,A,5,4,2015-01-19,60,-0.0745,-0.0705
0,A,1,5,2015-01-19,65,-0.0304,-0.0345
0,A,2,5,2015-01-19,97,-0.0356,-0.0519
0,A,3,5,2015-01-19,92,-0.0515,-0.0618
0,A,4,5,2015-01-19,91,-0.0682,-0.0744
0,A,5,5,2015-01-19,125,-0.0896,-0.0886
0,A,1,1,2015-01-20,84,0.0358,0.0426
0,A,2,1,2015-01-20,53,0.0358,0.0284
0,A,3,1,2015-01-20,75,0.0394,0.0507
0,A,4,1,2015-01-20,111,0.0463,0.0453
0,A,5,1,2015-01-20,146,0.0413,0.0395
0,A,1,2,2015-01-20,88,0.0388,0.0403
0,A,2,2,2015-01-20,108,0.0438,0.0431
0,A,3,2,2015-01-20,107,0.0449,0.0477
0,A,4,2,2015-01-20,97,0.0423,0.0418
0,A,5,2,2015-01-20,69,0.0394,0.0358
0,A,1,3,2015-01-20,119,0.0452,0.0437
0,A,2,3,2015-01-20,107,0.0436,0.0381
0,A,3,3,2015-01-20,96,0.0370,0.0415
0,A,4,3,2015-01-20,78,0.0366,0.0411
0,A,5,3,2015-01-20,70,0.0354,0.0419
0,A,1,4,2015-01-20,113,0.0439,0.0441
0,A,2,4,2015-01-20,104,0.0382,0.0377
0,A,3,4,2015-01-20,100,0.0387,0.0382
0,A,4,4,2015-01-20,92,0.0378,0.0404
0,A,5,4,2015-01-20,60,0.0393,0.0281
0,A,1,5,2015-01-20,65,0.0373,0.0373
0,A,2,5,2015-01-20,97,0.0334,0.0321
0,A,3,5,2015-01-20,92,0.0353,0.0363
0,A,4,5,2015-01-20,91,0.0331,0.0312
0,A,5,5,2015-01-20,125,0.0257,0.0276
0,A,1,1,2015-01-21,84,0.0265,0.0253
0,A,2,1,2015-01-21,53,0.0252,0.0242
0,A,3,1,2015-01-21,75,0.0181,0.0222
0,A,4,1,2015-01-21,111,0.0214,0.0176
0,A,5,1,2015-01-21,146,0.0187,0.0216
0,A,1,2,2015-01-21,88,0.0199,0.0248
0,A,2,2,2015-01-21,108,0.0236,0.0209
0,A,3,2,2015-01-21,107,0.0203,0.0190
0,A,4,2,2015-01-21,97,0.0257,0.0226
0,A,5,2,2015-01-21,69,0.0239,0.0211
0,A,1,3,2015-01-21,119,0.0250,0.0253
0,A,2,3,2015-01-21,107,0.0251,0.0282
0,A,3,3,2015-01-21,96,0.0219,0.0238
0,A,4,3,2015-01-21,78,0.0282,0.0214
0,A,5,3,2015-01-21,70,0.0366,0.0308
0,A,1,4,2015-01-21,113,0.0289,0.0251
