MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9709	2018-07-19	-.005031	-.006031	-.010413	-.010526	.001794	.001498
P9710	2018-07-19	-.005031	-.006031	-.010167	-.010299	.001882	.001536
P9705	2018-07-18	-.010031	-.011031	.000649	-.000609	.002006	.001882
P9706	2018-07-18	-.004031	-.004031	.003608	.002929	.001403	.000576
P9707	2018-07-18	-.000031	-.000031	.000310	-.001150	.006495	.005919
P9709	2018-07-18	-.004031	-.005031	.001407	.000389	.002694	.002748
P9710	2018-07-18	-.004031	-.005031	.001379	.000378	.002748	.002792
P9705	2018-07-17	.002969	.000969	.003795	.002522	-.003009	-.001481
P9706	2018-07-17	-.005031	-.005031	.010377	.009445	-.002505	-.002473
P9707	2018-07-17	-.004031	-.003031	.003682	.003914	.007765	.009262
P9709	2018-07-17	-.005031	-.004031	.010199	.008633	-.002945	-.002777
P9710	2018-07-17	-.005031	-.004031	.010129	.008626	-.002952	-.002714
P9705	2018-07-16	-.001031	-.002031	-.002282	-.002026	-.002038	-.004023
P9706	2018-07-16	-.006031	-.005031	.006063	.005714	-.005983	-.004930
P9707	2018-07-16	-.003031	-.004031	-.006074	-.011037	-.006641	-.010698
P9709	2018-07-16	-.006031	-.005031	.005870	.004977	-.006888	-.006023
P9710	2018-07-16	-.006031	-.005031	.005734	.004832	-.006689	-.005943
P9705	2018-07-13	.001969	-.000031	-.001741	-.005465	-.005035	-.004376
P9706	2018-07-13	.002969	.002969	-.000626	-.000911	-.007840	-.008527
P9707	2018-07-13	.001969	.001969	-.002886	-.003009	-.000463	.000396
P9709	2018-07-13	.002969	.001969	-.001004	-.001540	-.007924	-.008219
P9710	2018-07-13	.002969	.001969	-.000977	-.001542	-.007709	-.008023
P9705	2018-07-12	.033969	.035969	-.001381	-.002308	-.001587	-.000984
P9706	2018-07-12	.023969	.024969	.001349	.002762	-.002387	-.001647
P9707	2018-07-12	.024969	.023969	-.001436	-.002285	-.000911	-.001268
P9709	2018-07-12	.023969	.025969	.002702	.003777	-.003623	-.003159
P9710	2018-07-12	.023969	.025969	.002730	.003808	-.003440	-.003050
P9705	2018-07-11	-.021031	-.018031	-.004427	-.003054	-.006315	-.006006
P9706	2018-07-11	-.018031	-.019031	-.009490	-.009124	.003845	.003367
P9707	2018-07-11	-.016031	-.015031	-.006469	-.006530	.008645	.009836
P9709	2018-07-11	-.018031	-.019031	-.009704	-.009013	.003685	.003295
P9710	2018-07-11	-.018031	-.018031	-.009733	-.009114	.003918	.003502
P9705	2018-07-10	.008969	.010969	.006754	.008353	.001134	.003797
P9706	2018-07-10	.003969	.004969	.005068	.005504	.000542	.001034
P9707	2018-07-10	-.001031	-.001031	-.002414	-.002649	.002730	.004086
P9709	2018-07-10	.003969	.004969	.005600	.006284	.000690	.001093
P9710	2018-07-10	.003969	.004969	.005317	.006070	.000660	.001141
P9705	2018-07-09	.025969	.027969	.002805	.003130	-.000487	-.001111
P9706	2018-07-09	.027969	.027969	-.009192	-.007363	.001236	.002455
P9707	2018-07-09	.016969	.016969	-.003722	-.003524	.002603	.003571
P9709	2018-07-09	.027969	.027969	-.007798	-.005895	.001999	.002358
P9710	2018-07-09	.027969	.026969	-.007846	-.005914	.002158	.002483
P9705	2018-07-06	.005969	.007969	.007205	.008842	.001088	-.001088
P9706	2018-07-06	.004969	.004969	-.002191	-.001642	-.001964	-.002185
P9707	2018-07-06	.000969	.001969	-.002714	-.003137	.009542	.009183
P9709	2018-07-06	.004969	.004969	-.001031	-.000478	-.001661	-.001811
P9710	2018-07-06	.004969	.004969	-.000975	-.000438	-.001354	-.001571
P9705	2018-07-05	-.026031	-.024031	-.006781	-.007815	.001790	.001925
P9706	2018-07-05	-.009031	-.012031	-.020279	-.019691	.007270	.005970
P9707	2018-07-05	-.009031	-.010031	-.003073	-.005157	.001181	-.000889
P9709	2018-07-05	-.010031	-.013031	-.019629	-.019091	.007610	.006358
P9710	2018-07-05	-.010031	-.013031	-.019374	-.018929	.007680	.006361
P9705	2018-07-04	-.027031	-.029031	-.002727	-.005267	-.005740	-.007370
P9706	2018-07-04	-.010031	-.012031	-.007658	-.008402	.005662	.005734
P9707	2018-07-04	-.008031	-.008031	.000801	-.000320	.000563	-.000339
P9709	2018-07-04	-.011031	-.013031	-.009501	-.010141	.005519	.005667
P9710	2018-07-04	-.011031	-.013031	-.009343	-.010034	.005437	.005540
P9705	2018-07-03	.016969	.018969	.011158	.013212	.005462	.002960
P9706	2018-07-03	.003969	.004969	.012761	.013130	.003326	.002212
P9707	2018-07-03	.005969	.004969	.002291	.001364	-.002859	-.003776
P9709	2018-07-03	.004969	.005969	.014335	.015428	.002366	.000859
P9710	2018-07-03	.004969	.005969	.014091	.015257	.002286	.000840
P9705	2018-07-02	-.011031	-.010031	.000531	-.000765	-.003089	-.003983
P9706	2018-07-02	-.027031	-.026031	.016981	.016716	-.008316	-.007705
P9707	2018-07-02	-.008031	-.007031	.001221	.002152	-.003195	.000555
P9709	2018-07-02	-.026031	-.024031	.016056	.015239	-.008264	-.007750
P9710	2018-07-02	-.026031	-.024031	.015597	.014745	-.008163	-.007601
P9705	2018-06-29	.042969	.043969	-.002186	-.000431	.000358	.001621
P9706	2018-06-29	.023969	.024969	.001333	.001878	-.008920	-.008551
P9707	2018-06-29	.023969	.023969	-.000712	.000033	-.003454	-.004831
P9709	2018-06-29	.025969	.026969	.003546	.004219	-.010097	-.009911
P9710	2018-06-29	.025969	.026969	.003446	.004170	-.010184	-.010035
P9705	2018-06-28	-.008031	-.012031	.001257	.001745	-.005070	-.006058
P9706	2018-06-28	-.010031	-.011031	-.000080	.000281	.006727	.008426
P9707	2018-06-28	-.005031	-.005031	.001968	.001354	.002876	.002819
P9709	2018-06-28	-.010031	-.011031	-.000414	.000286	.005054	.006359
P9710	2018-06-28	-.010031	-.011031	-.000204	.000443	.005303	.006592
P9705	2018-06-27	-.009031	-.008031	.001252	.000469	.005068	.002368
P9706	2018-06-27	-.014031	-.013031	.009342	.009127	.003486	.003783
P9707	2018-06-27	-.005031	-.004031	.004004	.003906	.003147	.002845
P9709	2018-06-27	-.013031	-.012031	.008629	.008231	.003432	.003717
P9710	2018-06-27	-.013031	-.012031	.008568	.008165	.003606	.003968
P9705	2018-06-26	.019969	.022969	-.001610	-.002265	-.002918	-.003010
P9706	2018-06-26	-.006031	-.004031	.011813	.011128	-.010811	-.010441
P9707	2018-06-26	-.002031	-.002031	.000805	.001067	-.001310	-.001799
P9709	2018-06-26	-.005031	-.002031	.012597	.011967	-.012710	-.012688
P9710	2018-06-26	-.005031	-.002031	.012393	.011923	-.012477	-.012311
P9705	2018-06-25	-.003031	-.001031	.007177	.007441	-.004478	-.004676
P9706	2018-06-25	-.012031	-.011031	.006947	.007127	-.007021	-.005801
P9707	2018-06-25	-.009031	-.009031	.005754	.004301	-.015104	-.014115
P9709	2018-06-25	-.011031	-.010031	.006665	.006976	-.007478	-.006327
P9710	2018-06-25	-.011031	-.010031	.006710	.006939	-.007469	-.006380
P9705	2018-06-22	.019969	.016969	.004023	.003962	-.001525	.000112
P9706	2018-06-22	.005969	.006969	.005727	.004681	-.003166	-.002751
P9707	2018-06-22	.009969	.009969	.003301	.004181	-.009493	-.010679
P9709	2018-06-22	.006969	.007969	.006878	.006383	-.005058	-.004982
P9710	2018-06-22	.006969	.007969	.006921	.006545	-.005499	-.005327
P9705	2018-06-21	-.030031	-.029031	-.003007	-.001744	.003792	.002793
P9706	2018-06-21	-.013031	-.015031	-.010463	-.010492	.012305	.012921
P9707	2018-06-21	-.018031	-.017031	-.006121	-.006880	.009086	.012528
P9709	2018-06-21	-.014031	-.016031	-.011525	-.011226	.012750	.013403
P9710	2018-06-21	-.014031	-.016031	-.011424	-.011155	.012854	.013402
P9705	2018-06-20	.016969	.020969	.003116	.004697	.002645	.000861
P9706	2018-06-20	.002969	.003969	.003906	.003733	-.003514	-.003422
P9707	2018-06-20	.008969	.008969	-.000687	-.001173	-.002995	-.001781
P9709	2018-06-20	.002969	.004969	.005235	.005354	-.004566	-.005165
P9710	2018-06-20	.003969	.005969	.005302	.005443	-.004464	-.005076
P9705	2018-06-19	-.069031	-.066031	-.010842	-.010920	.003406	.001638
