ts_code,trade_date,total_mv,float_mv,pe,pb
000300.SH,20160420,26131174583115.0,19370878690323.0,11.95,1.45
000300.SH,20160421,25977553733513.0,19254506850297.0,11.87,1.44
000300.SH,20160422,26054734829749.0,19314923820503.0,11.89,1.44
000300.SH,20160425,25955182028218.0,19246196708714.0,11.83,1.44
000300.SH,20160426,26062560723976.0,19355665423696.0,11.92,1.44
000300.SH,20160427,25956949836945.0,19279443302929.0,11.8,1.43
000300.SH,20160428,25932904851555.0,19263842871609.0,11.8,1.42
000300.SH,20160429,25868678755924.0,19214934605020.0,11.78,1.4
000300.SH,20160503,26267318833282.0,19521731038517.0,11.97,1.41
000300.SH,20160504,26219964976866.0,19485206977797.0,11.95,1.4
000300.SH,20160505,26257392419473.0,19506893591096.0,11.96,1.4
000300.SH,20160506,25639627755049.0,19038138026926.0,11.68,1.37
000300.SH,20160509,25107301937915.0,18635468312261.0,11.44,1.34
000300.SH,20160510,25137463628244.0,18652837491940.0,11.45,1.35
000300.SH,20160511,25256617168390.0,18745279084906.0,11.51,1.35
000300.SH,20160512,25293520987797.0,18768804585245.0,11.53,1.35
000300.SH,20160513,25200417802519.0,18698261364532.0,11.48,1.35
000300.SH,20160516,25336259891114.0,18835795830073.0,11.54,1.37
000300.SH,20160517,25295773735726.0,18805850851625.0,11.53,1.37
000300.SH,20160518,25159885163663.0,18699694842766.0,11.46,1.37
000300.SH,20160519,25108953783713.0,18657815710849.0,11.44,1.36
000300.SH,20160520,25223875803635.0,18749444724016.0,11.49,1.37
000300.SH,20160523,25304734376227.0,18799945944141.0,11.53,1.37
000300.SH,20160524,25158496942063.0,18698995388603.0,11.46,1.37
000300.SH,20160525,25140932292019.0,18708212413184.0,11.46,1.36
000300.SH,20160526,25172716709573.0,18727410709274.0,11.47,1.37
000300.SH,20160527,25155463240152.0,18714522422492.0,11.46,1.37
000300.SH,20160530,25214654087190.0,18758339555387.0,11.49,1.37
000300.SH,20160531,25979956218282.0,19310092633970.0,11.84,1.41
000300.SH,20160601,25912438965342.0,19280408171285.0,11.81,1.41
000300.SH,20160602,25952952928070.0,19310791373566.0,11.83,1.41
000300.SH,20160603,26106890977139.0,19429391324786.0,11.9,1.42
000300.SH,20160606,26072714048378.0,19383280952638.0,11.88,1.41
000300.SH,20160607,26072962994725.0,19357483857176.0,11.88,1.41
000300.SH,20160608,25980843320206.0,19320234283663.0,11.84,1.41
000300.SH,20160613,25511346677184.0,18732345846090.0,11.59,1.39
000300.SH,20160614,25595355193810.0,18791526915029.0,11.63,1.39
000300.SH,20160615,25851991891313.0,18960166829083.0,11.75,1.4
000300.SH,20160616,25679380652598.0,18818961189995.0,11.67,1.4
000300.SH,20160617,25787836874307.0,18915120845913.0,11.72,1.4
000300.SH,20160620,25814572592402.0,18930777188335.0,11.73,1.4
000300.SH,20160621,25775952762642.0,18931816451679.0,11.71,1.4
000300.SH,20160622,25992428532447.0,19084164734973.0,11.81,1.41
000300.SH,20160623,25895994187878.0,18953546133033.0,11.77,1.41
000300.SH,20160624,25552902042831.0,18751772150752.0,11.61,1.38
000300.SH,20160627,25848380353866.0,19028889349256.0,11.74,1.4
000300.SH,20160628,25968316759052.0,19105941947777.0,11.8,1.4
000300.SH,20160629,26103473276984.0,19207241344732.0,11.86,1.41
000300.SH,20160630,26068303134361.0,19273853211898.0,11.84,1.41
000300.SH,20160701,26089722669134.0,19308820933304.0,11.85,1.41
000300.SH,20160704,26522568206321.0,19634330155212.0,12.05,1.44
000300.SH,20160705,26595335695382.0,19685517217443.0,12.08,1.44
000300.SH,20160706,26651412264171.0,19723678356688.0,12.11,1.45
000300.SH,20160707,26597651103046.0,19678678320111.0,12.08,1.45
000300.SH,20160708,26345727146347.0,19484022512824.0,11.97,1.44
000300.SH,20160711,26442104108747.0,19532648657737.0,12.01,1.45
000300.SH,20160712,27022884815762.0,19965026412946.0,12.28,1.48
000300.SH,20160713,27132669376091.0,20029869114903.0,12.33,1.49
000300.SH,20160714,27036354492874.0,19972620684949.0,12.28,1.49
000300.SH,20160715,27073121566830.0,19972595381795.0,12.3,1.49
000300.SH,20160718,27009023843024.0,19938675444433.0,12.27,1.48
000300.SH,20160719,26874284499468.0,19837195124203.0,12.21,1.48
000300.SH,20160720,26765027746254.0,19767765143067.0,12.16,1.47
000300.SH,20160721,26865271270466.0,19847005271181.0,12.21,1.48
000300.SH,20160722,26655101484149.0,19699613028120.0,12.11,1.47
000300.SH,20160725,26684385538515.0,19716202900113.0,12.12,1.47
000300.SH,20160726,26981150695387.0,19938976798089.0,12.26,1.48
000300.SH,20160727,26633727778196.0,19699096380034.0,12.1,1.47
000300.SH,20160728,26629026627321.0,19703463386984.0,12.1,1.46
000300.SH,20160729,26541445305901.0,19623763941336.0,12.06,1.46
000300.SH,20160801,26408724802595.0,19509297665353.0,12.0,1.45
000300.SH,20160802,26500039806451.0,19581241511053.0,12.04,1.46
000300.SH,20160803,26499032490542.0,19588548426045.0,12.04,1.46
000300.SH,20160804,26520119272657.0,19612731105867.0,12.05,1.46
000300.SH,20160805,26527018530245.0,19621400775518.0,12.05,1.46
000300.SH,20160808,26754252001659.0,19782542844322.0,12.16,1.47
000300.SH,20160809,26920011887324.0,19908766665408.0,12.23,1.48
000300.SH,20160810,26837687640398.0,19832914766794.0,12.19,1.48
000300.SH,20160811,26834933244892.0,19826712347903.0,12.19,1.48
000300.SH,20160812,27342716986145.0,20189401463795.0,12.42,1.5
