Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pmonret_tmv,Pmonret_mc
0,A,3,4,2016-06-30,106,0.0551,0.0552
0,A,2,4,2016-06-30,88,0.0608,0.0546
0,A,5,3,2016-06-30,79,0.0241,0.0302
0,A,4,3,2016-06-30,84,0.0492,0.0525
0,A,3,3,2016-06-30,100,0.0670,0.0624
0,A,1,3,2016-06-30,82,0.0895,0.1033
0,A,5,2,2016-06-30,74,0.0385,0.0369
0,A,4,2,2016-06-30,99,0.0605,0.0596
0,A,2,2,2016-06-30,90,0.0853,0.0847
0,A,1,2,2016-06-30,93,0.0680,0.0975
0,A,5,1,2016-06-30,103,0.0252,0.0194
0,A,4,1,2016-06-30,96,0.0793,0.0571
0,A,3,1,2016-06-30,71,0.0573,0.0839
0,A,2,1,2016-06-30,65,0.0641,0.0473
0,A,1,1,2016-06-30,97,0.0420,0.0580
0,A,2,3,2016-06-30,95,0.0713,0.0908
0,A,3,2,2016-06-30,75,0.0750,0.0752
0,A,1,4,2016-06-30,85,0.0718,0.1060
0,A,5,4,2016-06-30,66,0.0063,0.0129
0,A,4,5,2016-06-30,86,0.0165,0.0044
0,A,2,2,2016-07-29,102,-0.0021,-0.0213
0,A,4,4,2016-07-29,92,0.0039,0.0054
0,A,5,3,2016-07-29,80,0.0356,0.0278
0,A,3,5,2016-07-29,81,0.0204,0.0115
0,A,5,5,2016-07-29,148,0.0393,0.0431
0,A,4,5,2016-07-29,80,0.0436,0.0606
0,A,2,5,2016-07-29,93,0.0248,0.0276
0,A,1,5,2016-07-29,82,0.0028,0.0304
0,A,5,4,2016-07-29,77,0.0381,0.0261
0,A,3,4,2016-07-29,112,0.0174,0.0092
0,A,2,4,2016-07-29,98,0.0015,-0.0012
0,A,1,4,2016-07-29,86,-0.0004,0.0018
0,A,4,3,2016-07-29,90,-0.0223,0.0099
0,A,3,3,2016-07-29,105,-0.0109,-0.0141
0,A,2,3,2016-07-29,96,-0.0127,-0.0165
0,A,1,3,2016-07-29,88,-0.0062,-0.0022
