date,cpi,iv,m1,gdp,m2,HS300_close,HS300_open,HS300_volume
2017-07-26,104.2100897941291,116.987031247592,510146.6988761676,194201.76729166054,1636239.8264726354,3705.39,3722.88,136325210.0
2017-07-27,104.21741247708232,117.00045096758207,510180.00197771593,194263.30266722752,1636181.048527865,3712.19,3700.86,145002904.0
2017-07-28,104.22506173212614,117.01404174627736,510230.4416408734,194324.60662584496,1636161.7874082162,3721.89,3703.49,111411392.0
2017-07-31,104.24996892980106,117.05584043459437,510484.57999999996,194507.13000000003,1636341.105,3737.87,3722.43,148429039.0
2017-08-01,104.25892447320719,117.07011544811041,510603.5659095935,194567.5082908193,1636479.9111808375,3770.38,3738.74,152546539.0
2017-08-02,104.26820658870389,117.0845615203317,510739.68838079623,194627.6551646891,1636658.2341867974,3760.85,3768.19,172293383.0
2017-08-03,104.27781527629122,117.0991786512582,510892.9474136081,194687.5706216094,1636876.0740178789,3727.83,3755.11,146153944.0
2017-08-04,104.2877505359691,117.11396684088987,511063.3430080289,194747.2546615801,1637133.4306740821,3707.58,3724.72,157470060.0
2017-08-07,104.3195157475463,117.15935776201617,511677.349160946,194924.91827979515,1638142.6015934218,3726.79,3701.22,124231530.0
2017-08-08,104.33075729558654,117.17483018646864,511916.291001803,194983.67665196775,1638558.0255501117,3732.21,3724.33,137241928.0
2017-08-09,104.34232541571734,117.19047366962633,512172.36940426915,195042.20360719087,1639012.9663319234,3731.04,3728.03,124679989.0
2017-08-10,104.35422010793876,117.20628821148924,512445.5843683445,195100.49914546445,1639507.423938857,3715.92,3724.96,130085128.0
2017-08-11,104.36644137225073,117.22227381205732,512735.93589402875,195158.5632667885,1640041.3983709123,3647.35,3687.93,150387421.0
2017-08-14,104.4050645977302,117.27125696599285,513709.8098407361,195331.36712906347,1641880.4226178075,3694.68,3651.38,115308451.0
2017-08-15,104.41859215040455,117.28792680138176,514068.70761285676,195388.5055825894,1642572.4643503497,3706.06,3695.78,106444857.0
2017-08-16,104.43243329078652,117.30477256911274,514440.5507766118,195445.4924754261,1643297.70436453,3701.42,3701.13,104134141.0
2017-08-17,104.44651011257861,117.32182351100708,514800.1923121535,195502.80694513523,1644018.2313994484,3721.28,3707.07,108656251.0
2017-08-18,104.46080963139784,117.3390845007016,515143.4410495072,195560.5288479771,1644727.7269116202,3724.67,3707.19,96561705.0
2017-08-21,104.50504437001858,117.39212775658652,516074.8304724405,195736.1391552991,1646790.0243116631,3740.99,3731.84,100313073.0
2017-08-22,104.5202346769465,117.4102289374819,516352.5080170423,195795.4907906719,1647455.393732852,3752.3,3745.75,100292856.0
2017-08-23,104.53564768090159,117.42854016617751,516613.79276345624,195855.24985917742,1648109.7316312962,3756.09,3747.61,104961573.0
2017-08-24,104.55128338188382,117.44706144267332,516858.684711682,195915.4163608157,1648753.038006994,3734.65,3755.89,89947372.0
2017-08-25,104.56714177989325,117.46579276696934,517087.18386171997,195975.99029558667,1649385.3128599462,3795.75,3736.29,129940900.0
2017-08-28,104.6160531560845,117.52324702665874,517674.32452270587,196160.15669869602,1651215.9482823287,3842.71,3805.66,185576325.0
2017-08-29,104.63280234220258,117.54281854215563,517837.25247999193,196222.36036599794,1651804.0970442982,3834.54,3839.18,128227070.0
2017-08-30,104.64977422534784,117.56260010545272,517983.7876390899,196284.97146643262,1652381.214283522,3834.3,3834.27,141352857.0
2017-08-31,104.66696880552026,117.58259171655003,518113.92999999993,196347.98999999996,1652947.2999999998,3822.09,3835.84,132944935.0
2017-09-01,104.68438608271984,117.60279337544756,518227.6795627221,196411.4159667001,1653502.3541937324,3830.54,3825.34,158645511.0
2017-09-04,104.7379740964816,117.66465863894142,518470.57146176056,196604.13846559677,1655101.3276384547,3845.62,3828.54,149566320.0
2017-09-05,104.75628216178987,117.68570048903982,518518.7498317308,196669.19416482782,1655612.2557412041,3857.05,3845.55,124964155.0
2017-09-06,104.77481292412529,117.70695238693838,518550.535403513,196734.65729719156,1656112.1523212076,3849.45,3846.75,131398723.0
